Filename,Source,Subtopic,Resource type,Processed
https://cspages.ucalgary.ca/~tam/2014/233W/notes/acrobat/intro_OO.pdf,external,OOP,PDF,Y
https://homepage.divms.uiowa.edu/~slonnegr/oosd/22OOP.pdf,external,OOP,PDF,Y
https://pages.cs.wisc.edu/~cs302-5/resources/18_CS302_IntroOOP.pdf,external,OOP,PDF,Y
https://www.teach.cs.toronto.edu/~csc207h/summer/lectures/week11/design_principles.pdf,external,OOP,PDF,Y
https://homepage.divms.uiowa.edu/~sgoddard/Courses/CS2820/Lectures/14-OOD-Principles.pdf ,external,OOP,PDF,Y
https://people.engr.tamu.edu/choe/choe/courses/20fall/315/lectures/slide23-solid.pdf ,external,OOP,PDF,Y
https://hci.stanford.edu/publications/2005/pairs/PairProgramming-WhenWhy.pdf ,external,Paired Programing,PDF,Y
https://docs.oracle.com/javase/tutorial/java/nutsandbolts/datatypes.html,external,Java,Webpage,N
https://www.geeksforgeeks.org/data-types-in-java/,external,Java,Webpage,Y
https://www.geeksforgeeks.org/types-of-classes-in-java/,external,Java,Webpage,Y
https://www.baeldung.com/java-generics,external,Java,Webpage,Y
https://www.geeksforgeeks.org/exceptions-in-java/,external,Java,Webpage,Y
https://www.javatpoint.com/type-casting-in-java,external,Java,Webpage,Y
https://www.geeksforgeeks.org/generics-in-java/,external,Java,Webpage,Y
https://www.geeksforgeeks.org/java-io-tutorial/,external,Java,Webpage,Y
https://www.geeksforgeeks.org/file-handling-in-java/,external,Java,Webpage,Y
https://docs.oracle.com/javase/tutorial/essential/io/,external,Java,Webpage,Y
https://www.geeksforgeeks.org/method-overloading-in-java/,external,Java,Webpage,Y
https://docs.oracle.com/javase/8/docs/api/java/lang/Comparable.html,external,Java,Webpage,Y
https://www.baeldung.com/java-comparator-comparable,external,Java,Webpage,Y
https://www.geeksforgeeks.org/videos/comparable-interface-in-java-with-examples/,external,Java,Webpage,Y
https://www.geeksforgeeks.org/difference-between-abstract-class-and-interface-in-java/ ,external,Java,Webpage,Y
https://www.baeldung.com/java-interface-vs-abstract-class ,external,Java,Webpage,Y
https://stackoverflow.com/questions/10040069/abstract-class-vs-interface-in-java ,external,Java,Webpage,Y
